import time: self [us] | cumulative | imported package
import time:       123 |        123 | winreg
import time:       159 |        159 |   _io
import time:        23 |         23 |   marshal
import time:        97 |         97 |   nt
import time:       239 |        518 | _frozen_importlib_external
import time:       306 |        306 |   time
import time:        78 |        384 | zipimport
import time:        37 |         37 |     _codecs
import time:       244 |        281 |   codecs
import time:       736 |        736 |   encodings.aliases
import time:      1188 |       2204 | encodings
import time:       456 |        456 | encodings.utf_8
import time:        34 |         34 |   _codecs_cn
import time:        35 |         35 |   _multibytecodec
import time:       590 |        658 | encodings.gbk
import time:        35 |         35 | _signal
import time:        30 |         30 |     _abc
import time:        71 |        101 |   abc
import time:        85 |        186 | io
import time:       131 |        131 |       _stat
import time:        42 |        173 |     stat
import time:       474 |        474 |     _collections_abc
import time:        26 |         26 |       genericpath
import time:        71 |         71 |       _winapi
import time:        49 |        145 |     ntpath
import time:       157 |        948 |   os
import time:        50 |         50 |   _sitebuiltins
import time:       496 |        496 |   encodings.utf_8_sig
import time:       795 |        795 |   _virtualenv
import time:       373 |        373 |   _distutils_hack
import time:       165 |        165 |   sitecustomize
import time:      1763 |       4588 | site
import time:       418 |        418 |   aicbc
import time:       367 |        367 |     __future__
import time:        91 |         91 |           itertools
import time:       327 |        327 |           keyword
import time:        63 |         63 |             _operator
import time:       465 |        527 |           operator
import time:       348 |        348 |           reprlib
import time:        55 |         55 |           _collections
import time:       848 |       2193 |         collections
import time:       487 |        487 |           types
import time:        50 |         50 |           _functools
import time:       768 |       1304 |         functools
import time:       585 |       4082 |       contextlib
import time:        32 |         32 |         _contextvars
import time:       330 |        362 |       contextvars
import time:       313 |        313 |       collections.abc
import time:       390 |        390 |         copyreg
import time:      1094 |       1094 |           enum
import time:        61 |         61 |             _sre
import time:       441 |        441 |               re._constants
import time:       517 |        958 |             re._parser
import time:       292 |        292 |             re._casefix
import time:       646 |       1956 |           re._compiler
import time:       698 |       3747 |         re
import time:       423 |        423 |         warnings
import time:       130 |        130 |         _typing
import time:      2554 |       7242 |       typing
